mandante;visitante;mandante_ganhou
Guarani;Vasco;1
Athletico-PR;Gremio;1
Flamengo;Coritiba;0
Goias;Paysandu;0
Internacional;Ponte Preta;0
Criciuma;Fluminense;1
Juventude;Sao Paulo;0
Fortaleza;Bahia;0
Cruzeiro;Sao Caetano;0
Vitoria;Figueirense;0
Santos;Parana;0
Corinthians;Atletico-MG;0
Fluminense;Fortaleza;0
Atletico-MG;Santos;0
Coritiba;Internacional;0
Gremio;Guarani;1
Bahia;Flamengo;0
Figueirense;Corinthians;0
Paysandu;Vitoria;0
Ponte Preta;Juventude;1
Parana;Athletico-PR;1
Sao Caetano;Criciuma;1
Sao Paulo;Cruzeiro;0
Vasco;Goias;1
Paysandu;Santos;1
Internacional;Bahia;1
Santos;Figueirense;1
Athletico-PR;Atletico-MG;0
Corinthians;Paysandu;1
Vitoria;Vasco;1
Criciuma;Sao Paulo;0
Fortaleza;Sao Caetano;0
Juventude;Coritiba;1
Guarani;Parana;1
Goias;Gremio;0
Cruzeiro;Ponte Preta;1
Flamengo;Fluminense;1
Bahia;Juventude;1
Gremio;Vitoria;1
Atletico-MG;Guarani;1
Figueirense;Athletico-PR;0
Ponte Preta;Criciuma;0
Sao Caetano;Flamengo;0
Vasco;Corinthians;0
Coritiba;Cruzeiro;0
Fluminense;Internacional;1
Sao Paulo;Fortaleza;1
Parana;Goias;1
Flamengo;Cruzeiro;1
Bahia;Atletico-MG;0
Sao Caetano;Gremio;0
Flamengo;Santos;0
Sao Paulo;Vasco;1
Internacional;Corinthians;1
Criciuma;Guarani;1
Juventude;Vitoria;0
Fortaleza;Athletico-PR;1
Ponte Preta;Paysandu;0
Cruzeiro;Goias;1
Fluminense;Parana;0
Coritiba;Figueirense;1
Atletico-MG;Coritiba;0
Parana;Bahia;1
Vitoria;Internacional;0
Guarani;Cruzeiro;0
Corinthians;Flamengo;0
Goias;Juventude;1
Figueirense;Ponte Preta;0
Santos;Fortaleza;1
Gremio;Fluminense;0
Athletico-PR;Criciuma;1
Paysandu;Sao Paulo;1
Vasco;Sao Caetano;1
Flamengo;Vitoria;1
Bahia;Gremio;1
Cruzeiro;Athletico-PR;1
Fortaleza;Corinthians;0
Sao Paulo;Figueirense;1
Sao Caetano;Paysandu;1
Internacional;Goias;1
Ponte Preta;Atletico-MG;1
Juventude;Guarani;0
Coritiba;Parana;1
Criciuma;Santos;0
Fluminense;Vasco;0
Goias;Flamengo;0
Santos;Cruzeiro;0
Parana;Ponte Preta;1
Corinthians;Criciuma;1
Vasco;Bahia;0
Paysandu;Fluminense;0
Atletico-MG;Sao Paulo;0
Vitoria;Fortaleza;1
Guarani;Internacional;1
Athletico-PR;Juventude;1
Figueirense;Sao Caetano;1
Gremio;Coritiba;1
Fluminense;Figueirense;1
Sao Caetano;Atletico-MG;1
Juventude;Santos;0
Bahia;Paysandu;1
Internacional;Athletico-PR;0
Coritiba;Vasco;0
Cruzeiro;Corinthians;0
Fortaleza;Goias;1
Ponte Preta;Gremio;1
Criciuma;Vitoria;0
Flamengo;Guarani;0
Sao Paulo;Parana;1
Atletico-MG;Fluminense;1
Parana;Sao Caetano;0
Corinthians;Juventude;1
Vasco;Ponte Preta;1
Athletico-PR;Flamengo;1
Paysandu;Coritiba;0
Goias;Criciuma;0
Gremio;Sao Paulo;0
Guarani;Fortaleza;1
Figueirense;Bahia;1
Vitoria;Cruzeiro;1
Santos;Internacional;1
Fluminense;Athletico-PR;1
Cruzeiro;Criciuma;1
Coritiba;Guarani;1
Ponte Preta;Sao Caetano;0
Internacional;Paysandu;1
Parana;Flamengo;1
Bahia;Goias;1
Fortaleza;Juventude;1
Figueirense;Gremio;1
Santos;Sao Paulo;1
Corinthians;Vitoria;1
Vasco;Atletico-MG;0
Vitoria;Fluminense;1
Guarani;Santos;0
Gremio;Fortaleza;1
Atletico-MG;Figueirense;0
Paysandu;Parana;1
Juventude;Vasco;0
Athletico-PR;Ponte Preta;1
Goias;Coritiba;0
Sao Caetano;Corinthians;1
Criciuma;Internacional;1
Sao Paulo;Bahia;0
Fluminense;Goias;0
Ponte Preta;Guarani;0
Coritiba;Athletico-PR;1
Corinthians;Sao Paulo;0
Fortaleza;Paysandu;0
Parana;Juventude;0
Gremio;Internacional;0
Santos;Sao Caetano;0
Criciuma;Figueirense;1
Bahia;Vitoria;1
Vasco;Flamengo;0
Cruzeiro;Atletico-MG;0
Bahia;Coritiba;0
Vasco;Criciuma;1
Atletico-MG;Gremio;1
Internacional;Parana;1
Sao Paulo;Goias;1
Paysandu;Flamengo;0
Ponte Preta;Corinthians;0
Sao Caetano;Vitoria;1
Figueirense;Fortaleza;0
Juventude;Cruzeiro;0
Fluminense;Guarani;1
Fortaleza;Vasco;0
Coritiba;Sao Caetano;1
Gremio;Juventude;0
Santos;Bahia;1
Flamengo;Figueirense;0
Corinthians;Fluminense;1
Guarani;Sao Paulo;0
Criciuma;Paysandu;1
Vitoria;Athletico-PR;1
Cruzeiro;Internacional;1
Parana;Atletico-MG;0
Vasco;Parana;0
Sao Paulo;Sao Caetano;0
Figueirense;Cruzeiro;1
Atletico-MG;Paysandu;1
Gremio;Flamengo;1
Guarani;Goias;1
Athletico-PR;Corinthians;1
Juventude;Internacional;0
Fortaleza;Criciuma;0
Vitoria;Ponte Preta;0
Santos;Coritiba;1
Fluminense;Bahia;1
Sao Caetano;Athletico-PR;0
Corinthians;Santos;0
Cruzeiro;Fortaleza;1
Bahia;Guarani;1
Paysandu;Figueirense;1
Goias;Vitoria;0
Flamengo;Juventude;1
Internacional;Vasco;1
Coritiba;Sao Paulo;0
Ponte Preta;Fluminense;1
Criciuma;Atletico-MG;1
Parana;Gremio;1
Athletico-PR;Goias;0
Fortaleza;Internacional;1
Vasco;Paysandu;0
Atletico-MG;Flamengo;1
Ponte Preta;Bahia;1
Corinthians;Coritiba;0
Criciuma;Juventude;1
Figueirense;Parana;1
Sao Caetano;Guarani;0
Fluminense;Sao Paulo;0
Gremio;Cruzeiro;0
Vitoria;Santos;1
Flamengo;Fortaleza;0
Juventude;Figueirense;0
Bahia;Sao Caetano;0
Coritiba;Fluminense;1
Guarani;Vitoria;0
Internacional;Atletico-MG;0
Santos;Ponte Preta;1
Cruzeiro;Vasco;1
Goias;Corinthians;0
Paysandu;Gremio;0
Sao Paulo;Athletico-PR;1
Fluminense;Santos;0
Corinthians;Guarani;1
Fortaleza;Atletico-MG;1
Internacional;Figueirense;1
Juventude;Paysandu;1
Athletico-PR;Bahia;1
Ponte Preta;Coritiba;0
Criciuma;Flamengo;1
Goias;Sao Caetano;1
Vitoria;Sao Paulo;0
Cruzeiro;Parana;1
Vasco;Gremio;1
Parana;Fortaleza;1
Atletico-MG;Juventude;1
Paysandu;Cruzeiro;1
Guarani;Athletico-PR;1
Figueirense;Vasco;0
Santos;Goias;0
Bahia;Corinthians;0
Coritiba;Vitoria;0
Gremio;Criciuma;0
Flamengo;Internacional;1
Sao Caetano;Fluminense;1
Sao Paulo;Ponte Preta;0
Santos;Vasco;1
Goias;Atletico-MG;0
Athletico-PR;Paysandu;0
Fortaleza;Ponte Preta;0
Juventude;Fluminense;1
Flamengo;Sao Paulo;0
Criciuma;Coritiba;0
Guarani;Figueirense;1
Vitoria;Parana;0
Corinthians;Gremio;1
Cruzeiro;Bahia;1
Internacional;Sao Caetano;0
Athletico-PR;Santos;0
Goias;Ponte Preta;0
Parana;Criciuma;1
Fluminense;Cruzeiro;0
Gremio;Santos;1
Sao Paulo;Internacional;0
Sao Caetano;Juventude;0
Figueirense;Goias;0
Parana;Corinthians;0
Paysandu;Guarani;1
Coritiba;Fortaleza;0
Bahia;Criciuma;0
Ponte Preta;Flamengo;0
Vasco;Athletico-PR;1
Atletico-MG;Vitoria;1
Vitoria;Paysandu;0
Athletico-PR;Parana;1
Criciuma;Sao Caetano;0
Fortaleza;Fluminense;1
Juventude;Ponte Preta;0
Santos;Atletico-MG;0
Goias;Vasco;1
Cruzeiro;Sao Paulo;0
Flamengo;Bahia;1
Corinthians;Figueirense;0
Guarani;Gremio;1
Internacional;Coritiba;1
Fluminense;Criciuma;0
Sao Caetano;Cruzeiro;1
Parana;Santos;0
Sao Paulo;Juventude;1
Paysandu;Goias;0
Ponte Preta;Internacional;0
Coritiba;Flamengo;1
Atletico-MG;Corinthians;0
Figueirense;Vitoria;0
Bahia;Fortaleza;1
Vasco;Guarani;0
Gremio;Athletico-PR;0
Vasco;Vitoria;1
Bahia;Internacional;0
Figueirense;Santos;1
Coritiba;Juventude;1
Atletico-MG;Athletico-PR;0
Sao Paulo;Criciuma;0
Paysandu;Corinthians;0
Sao Caetano;Fortaleza;1
Ponte Preta;Cruzeiro;0
Parana;Guarani;0
Gremio;Goias;0
Fluminense;Flamengo;0
Flamengo;Sao Caetano;1
Goias;Parana;1
Juventude;Bahia;1
Cruzeiro;Coritiba;0
Athletico-PR;Figueirense;0
Vitoria;Gremio;1
Santos;Paysandu;1
Fortaleza;Sao Paulo;0
Corinthians;Vasco;0
Internacional;Fluminense;0
Guarani;Atletico-MG;0
Criciuma;Ponte Preta;1
Santos;Flamengo;1
Athletico-PR;Fortaleza;1
Goias;Cruzeiro;1
Gremio;Sao Caetano;0
Vasco;Sao Paulo;1
Paysandu;Ponte Preta;1
Parana;Fluminense;1
Vitoria;Juventude;1
Guarani;Criciuma;1
Figueirense;Coritiba;0
Corinthians;Internacional;1
Atletico-MG;Bahia;1
Fluminense;Gremio;1
Fortaleza;Santos;0
Internacional;Vitoria;0
Cruzeiro;Guarani;1
Sao Paulo;Paysandu;1
Sao Caetano;Vasco;1
Juventude;Goias;0
Flamengo;Corinthians;1
Bahia;Parana;1
Ponte Preta;Figueirense;0
Criciuma;Athletico-PR;1
Coritiba;Atletico-MG;0
Santos;Criciuma;1
Athletico-PR;Cruzeiro;0
Gremio;Bahia;0
Corinthians;Fortaleza;1
Vitoria;Flamengo;1
Figueirense;Sao Paulo;0
Goias;Internacional;1
Paysandu;Sao Caetano;1
Guarani;Juventude;1
Parana;Coritiba;0
Vasco;Fluminense;1
Atletico-MG;Ponte Preta;1
Cruzeiro;Santos;1
Coritiba;Gremio;1
Ponte Preta;Parana;1
Fluminense;Paysandu;0
Internacional;Guarani;1
Bahia;Vasco;1
Criciuma;Corinthians;1
Fortaleza;Vitoria;1
Juventude;Athletico-PR;1
Sao Caetano;Figueirense;0
Sao Paulo;Atletico-MG;0
Flamengo;Goias;0
Athletico-PR;Internacional;1
Gremio;Ponte Preta;0
Goias;Fortaleza;0
Paysandu;Bahia;1
Vitoria;Criciuma;0
Guarani;Flamengo;1
Parana;Sao Paulo;1
Santos;Juventude;0
Corinthians;Cruzeiro;0
Figueirense;Fluminense;0
Vasco;Coritiba;1
Atletico-MG;Sao Caetano;1
Internacional;Santos;1
Sao Paulo;Gremio;1
Flamengo;Athletico-PR;1
Cruzeiro;Vitoria;1
Bahia;Figueirense;0
Criciuma;Goias;1
Fortaleza;Guarani;1
Juventude;Corinthians;1
Ponte Preta;Vasco;0
Sao Caetano;Parana;1
Fluminense;Atletico-MG;0
Coritiba;Paysandu;1
Athletico-PR;Fluminense;0
Paysandu;Internacional;0
Sao Caetano;Ponte Preta;1
Gremio;Figueirense;1
Sao Paulo;Santos;0
Vitoria;Corinthians;0
Goias;Bahia;1
Atletico-MG;Vasco;1
Juventude;Fortaleza;0
Guarani;Coritiba;1
Flamengo;Parana;0
Criciuma;Cruzeiro;0
Vasco;Juventude;0
Fortaleza;Gremio;0
Corinthians;Sao Caetano;0
Coritiba;Goias;1
Ponte Preta;Athletico-PR;0
Santos;Guarani;0
Bahia;Sao Paulo;1
Cruzeiro;Flamengo;1
Parana;Paysandu;1
Internacional;Criciuma;1
Fluminense;Vitoria;1
Figueirense;Atletico-MG;0
Athletico-PR;Coritiba;1
Guarani;Ponte Preta;0
Sao Caetano;Santos;0
Atletico-MG;Cruzeiro;0
Figueirense;Criciuma;1
Sao Paulo;Corinthians;1
Vitoria;Bahia;1
Goias;Fluminense;1
Juventude;Parana;0
Flamengo;Vasco;1
Internacional;Gremio;0
Paysandu;Fortaleza;1
Goias;Sao Paulo;1
Guarani;Fluminense;1
Flamengo;Paysandu;1
Gremio;Atletico-MG;0
Coritiba;Bahia;1
Parana;Internacional;1
Santos;Athletico-PR;1
Criciuma;Vasco;1
Fortaleza;Figueirense;0
Vitoria;Sao Caetano;0
Corinthians;Ponte Preta;1
Cruzeiro;Juventude;0
Ponte Preta;Goias;0
Sao Caetano;Coritiba;1
Athletico-PR;Vitoria;0
Figueirense;Flamengo;0
Fluminense;Corinthians;1
Internacional;Cruzeiro;1
Bahia;Santos;0
Paysandu;Criciuma;1
Sao Paulo;Guarani;0
Atletico-MG;Parana;0
Juventude;Gremio;0
Vasco;Fortaleza;0
Coritiba;Santos;0
Bahia;Fluminense;0
Ponte Preta;Vitoria;0
Cruzeiro;Figueirense;1
Sao Caetano;Sao Paulo;0
Parana;Vasco;0
Goias;Guarani;1
Criciuma;Fortaleza;0
Corinthians;Athletico-PR;0
Paysandu;Atletico-MG;1
Flamengo;Gremio;1
Internacional;Juventude;0
Guarani;Bahia;1
Athletico-PR;Sao Caetano;1
Gremio;Parana;0
Fluminense;Ponte Preta;0
Atletico-MG;Criciuma;0
Santos;Corinthians;1
Juventude;Flamengo;0
Fortaleza;Cruzeiro;0
Figueirense;Paysandu;1
Vitoria;Goias;0
Vasco;Internacional;0
Sao Paulo;Coritiba;1
Parana;Figueirense;0
Internacional;Fortaleza;0
Juventude;Criciuma;1
Paysandu;Vasco;0
Sao Paulo;Fluminense;1
Coritiba;Corinthians;1
Santos;Vitoria;1
Cruzeiro;Gremio;1
Bahia;Ponte Preta;1
Goias;Athletico-PR;1
Flamengo;Atletico-MG;1
Guarani;Sao Caetano;0
Fluminense;Coritiba;1
Gremio;Paysandu;1
Criciuma;Parana;0
Ponte Preta;Santos;0
Vasco;Cruzeiro;0
